id,first_name,last_name,country,city,street,housenumber,date_of_birth,tax_id
1186,Eugene,Perez,Nigeria,Mokwa,Kings Terrace,2416,1945-04-21,615449771
1187,Carl,Roberts,Philippines,Jarigue,Killdeer Point,65,1977-01-13,441400032
1188,Bruce,Wood,Cuba,Guantánamo,Ronald Regan Court,4,1935-08-28,599461054
1189,Chris,Rivera,Indonesia,Bogorejo,Victoria Trail,84184,1979-01-15,969380922
1190,Elizabeth,Rodriguez,Cameroon,Tonga,Fairfield Court,746,1943-04-30,225663647
1191,Louise,Robertson,Czech Republic,Písečná,Logan Hill,8057,1990-03-09,247913933
1192,Philip,Kelly,Mali,Yélimané,Eagle Crest Hill,141,1932-11-06,221387648
1193,Anthony,Holmes,United States,Dallas,Harper Junction,40,1930-04-22,321224095
1194,Juan,Hayes,Panama,Aguadulce,Upham Alley,8585,1992-10-29,382416359
1195,Kathleen,Fernandez,South Korea,Moppo,Hovde Park,6884,1981-08-08,295967269
1196,Lori,Dean,Cuba,Aguada de Pasajeros,Sage Trail,434,1930-02-25,540576181
1197,Amy,Ferguson,China,Gangtun,Pepper Wood Park,9102,1971-05-31,929179483
1198,Charles,Hunter,Indonesia,Tlogotunggal,Burning Wood Avenue,7793,1965-06-08,330828066
1199,Wanda,Chavez,Republic of the Congo,Makoua,Swallow Road,90279,1990-03-03,945156741
1200,Antonio,Patterson,Tanzania,Tukuyu,Grover Pass,56986,1996-07-09,495640460
1201,Sharon,Lane,Netherlands,Katwijk,Spaight Pass,13711,1977-03-07,942805393
1202,Robert,Sanders,France,Cahors,Westend Lane,575,1970-11-04,159800060
1203,Mary,Peters,Malaysia,Kuala Terengganu,Hansons Junction,4,1961-07-29,106210730
1204,Roger,Thompson,Malaysia,Seremban,Fordem Circle,04,1983-07-22,953853090
1205,Eric,Cook,Russia,Yantal’,Lakewood Alley,8,1970-07-29,119887702
1206,Anna,West,Brazil,Nortelândia,Sommers Parkway,3,1974-12-25,512882045
1207,Bruce,Mccoy,Myanmar,Loikaw,Nelson Road,1567,1971-05-03,811958251
1208,Ashley,Young,Norway,Oslo,Elmside Hill,0225,1950-12-12,302924100
1209,Martha,Evans,Serbia,Jagodina,Oriole Avenue,7,1953-10-09,204662788
1210,Juan,Freeman,Mongolia,Bayshint,Monica Way,16111,1960-08-26,862080514
1211,Christopher,Duncan,Portugal,Figueiró dos Vinhos,Sloan Street,94,1958-05-18,118029453
1212,Arthur,Cunningham,Indonesia,Jantake,Anthes Hill,505,1958-04-27,384197145
1213,Joe,Williamson,Colombia,Remolino,Aberg Road,9,1936-08-07,914560555
1214,Howard,Cunningham,Indonesia,Jampang Tengah,Vahlen Court,09,1941-02-17,347003930
1215,Susan,Stephens,France,Boé,Oneill Place,172,1965-06-21,439792448
1216,Anne,Reyes,France,Vienne,Thackeray Crossing,6129,1981-05-13,442226522
1217,Jimmy,Mills,China,Zhendong,Rowland Point,37,1960-11-13,427533894
1218,Carol,Lee,Indonesia,Sugihan,Ohio Way,32103,1977-12-16,516929508
1219,Justin,Murphy,Philippines,Talisayan,Holmberg Parkway,9,1945-05-18,735720818
1220,Julia,Gonzales,China,Hualingang,Loeprich Pass,492,1942-08-20,389069030
1221,Tina,Anderson,Venezuela,Papelón,Bartelt Crossing,4,1932-01-20,328056833
1222,Alan,Reyes,Portugal,Casal do Conde,Kenwood Place,1417,1969-11-03,656490625
1223,Gloria,Meyer,Nigeria,Lau,Evergreen Road,23,1963-11-25,125733887
1224,Matthew,Carroll,Czech Republic,Čejkovice,Dexter Trail,6276,1994-10-16,394889119
1225,Jean,Woods,Philippines,Igcocolo,Eastlawn Crossing,00,1945-02-14,784715802
1226,Raymond,Morales,Ukraine,Kuteynykove,Old Gate Pass,0,1949-11-22,597193784
1227,Billy,Garza,China,Dalongtan,Westridge Place,63474,1990-02-07,160567972
1228,Alice,Palmer,Mexico,Vicente Guerrero,Truax Way,4,1943-02-26,667188137
1229,Arthur,Torres,Argentina,Santa Lucía,Warner Hill,51,1968-05-05,394273048
1230,Janice,Black,China,Wulijie,Boyd Terrace,06,1972-03-14,349724037
1231,Jason,Ward,China,Sanxing,Haas Road,89,1986-01-03,303880097
1232,Patricia,Duncan,Cameroon,Kumbo,Erie Avenue,58,1956-03-06,232085829
1233,Donna,Perkins,United States,Fullerton,Mallard Plaza,179,1981-12-15,117201377
1234,Lillian,Allen,Egypt,Idkū,Beilfuss Terrace,19,1997-12-10,306337116
1235,Judith,Mcdonald,China,Yangdu,Blaine Street,037,1959-11-14,719042457
1236,Lois,Ruiz,Brazil,Votuporanga,Blackbird Lane,51,1936-10-11,288476401
1237,Shirley,Simmons,Cape Verde,Tarrafal de São Nicolau,Mayfield Pass,10,1987-06-13,184701793
1238,Ralph,Hamilton,Indonesia,Sadabumi,Village Green Plaza,07,1944-11-14,423283359
1239,Rachel,Barnes,Ireland,Ashford,Stuart Junction,93590,1996-02-24,989068775
1240,Shawn,Wells,Brazil,Itapecerica da Serra,Riverside Avenue,8,1930-11-05,260108412
1241,Jesse,Scott,China,Huilong,Ridgeway Crossing,8,1959-06-08,613668956
1242,Matthew,Hart,China,Yangjiao,Florence Street,52,1967-07-16,544065033
1243,Wanda,Wright,Russia,Kangalassy,Raven Alley,991,1991-06-02,947705897
1244,Thomas,Marshall,Brazil,Arroio do Meio,Dayton Hill,3420,1967-01-30,302759962
1245,Arthur,Stewart,Philippines,Laguilayan,Continental Court,3151,1988-06-19,537009307
1246,Heather,Hawkins,China,Shaxi,Forest Junction,4,1942-02-01,464806572
1247,Amy,Weaver,France,Cergy-Pontoise,Calypso Avenue,16943,1994-12-02,927648836
1248,Juan,Hughes,Vietnam,Hội An,Russell Junction,45,1953-09-01,587326394
1249,Jason,Foster,Colombia,Ramiriquí,Meadow Vale Way,26766,1965-03-11,252700996
1250,Clarence,Ryan,Sweden,Solna,American Plaza,319,1975-04-06,632056934
1251,Louise,Gray,France,Troyes,Lotheville Plaza,7,1994-11-16,401523682
1252,Denise,Bowman,China,Donghai,Moland Center,25478,1976-11-12,418441342
1253,Marilyn,Graham,Afghanistan,Kai,Thackeray Road,1604,1988-06-26,150173362
1254,Ralph,Cooper,Central African Republic,Berbérati,Northfield Street,9,1941-04-12,838995488
1255,Katherine,Kennedy,Brazil,Santa Quitéria,Springs Road,10129,1956-10-25,569322278
1256,Jessica,Ruiz,Indonesia,Banjar Tegal Belodan,Goodland Center,15,1939-10-17,545246871
1257,Ryan,Tucker,Ukraine,Chutove,Summit Junction,8,1954-03-13,583288978
1258,Eugene,Stanley,Indonesia,Palalang,Meadow Valley Plaza,04,1977-09-12,586303141
1259,Kathleen,Brown,China,Fengxi,Granby Pass,08820,1934-12-30,473602701
1260,Walter,Coleman,Russia,Izobil’nyy,Reindahl Court,92,1987-10-31,982445033
1261,Mary,Peterson,Chile,San Carlos,Buhler Plaza,954,1956-11-22,129513923
1262,Sharon,Thompson,China,Yangshuo,Westport Street,29972,1960-05-16,419243377
1263,Katherine,Morrison,Philippines,Hinlayagan Ilaud,Butterfield Junction,102,1971-09-04,825079466
1264,David,Morales,Philippines,Sinacaban,Butterfield Way,124,1954-01-18,825411734
1265,Amy,Powell,Philippines,Balibago,Claremont Lane,22,1976-04-02,351552669
1266,Arthur,Tucker,Argentina,Aranguren,Merrick Lane,0,1988-05-16,379656622
1267,Earl,Thompson,Indonesia,Taraan,Browning Way,89312,1965-03-14,451038981
1268,Nicholas,Daniels,Russia,Sergach,Southridge Park,0,1995-03-28,739047592
1269,Deborah,Parker,Sweden,Hovås,Duke Plaza,9239,1977-08-28,384840648
1270,Gloria,Roberts,China,Baicheng,Bluejay Park,6,1957-07-29,752813383
1271,Mildred,Duncan,France,Melun,Waubesa Pass,82,1945-02-09,786308857
1272,David,Lee,Canada,Pickering,Scofield Way,1,1980-09-24,167227233
1273,Kenneth,Romero,North Korea,Kilju,Northridge Plaza,5,1989-03-13,325168191
1274,Harold,Sanders,Brazil,Barra do Corda,Hintze Center,671,1975-12-03,594707581
1275,Rose,Wells,China,Xichehe,Stephen Hill,52,1939-09-28,357378557
1276,Clarence,Hill,China,Jinchuan,Gerald Place,3501,1980-04-25,124054412
1277,Ruth,Phillips,New Caledonia,Bourail,Arrowood Street,74,1944-07-13,929891129
1278,Martin,Fuller,China,Lengkeng,Hanover Terrace,89108,1950-03-31,646071481
1279,Nicholas,Smith,Angola,Luau,Reindahl Alley,1,1969-07-19,472879767
1280,Deborah,Mills,Pakistan,Bahāwalnagar,Crest Line Park,53,1965-08-17,409314133
1281,Helen,Morgan,Yemen,Maswarah,Reinke Point,546,1960-10-11,573856659
1282,Helen,Spencer,Cambodia,Tbêng Méanchey,Commercial Point,43,1945-11-13,453319662
1283,Michael,Olson,Peru,Cahuacho,Kedzie Hill,7,1933-12-06,123758561
1284,Donna,Alexander,Brazil,Viradouro,Northridge Center,92428,1996-08-24,399390991
1285,Julie,Jordan,Belarus,Lahishyn,Toban Drive,4,1988-11-10,544875505
1286,Gary,Medina,China,Shouxihu,Toban Pass,48,1953-12-27,851921069
1287,Mildred,Alexander,China,Yanglin,Clove Avenue,2,1954-01-17,233981846
1288,Martha,Nelson,Peru,Chalaco,Cody Hill,84858,1979-01-26,893123740
1289,Louise,Ramos,South Korea,Songhae,Rutledge Road,65406,1966-08-19,828470372
1290,Shirley,Hicks,China,Reshui,Swallow Way,22409,1960-05-11,290827331
1291,Diana,Nelson,Russia,Vnukovo,Garrison Court,29797,1932-05-19,724701002
1292,Arthur,Ross,Thailand,Watthana Nakhon,Magdeline Point,8,1937-11-21,756700928
1293,Bobby,Howell,Argentina,Cutral-Có,4th Center,4,1945-08-09,354104485
1294,Marie,Fisher,Indonesia,Telangi Satu,Fulton Alley,1211,1979-09-16,482917495
1295,Gregory,Peterson,Bahamas,Spanish Wells,Mockingbird Street,4,1971-08-21,863432567
1296,Jane,Franklin,Nigeria,Mekkaw,Daystar Terrace,1,1982-06-27,387996106
1297,Anne,Robinson,Madagascar,Ambovombe,Pond Terrace,2,1931-12-21,763254542
1298,Kathryn,Shaw,Philippines,Koronadal,Crowley Parkway,07029,1936-06-07,236364814
1299,Earl,Hughes,Serbia,Ruma,Pearson Pass,727,1993-04-30,840917237
1300,Helen,Thomas,Afghanistan,Ḩājī Khēl,Loeprich Drive,79,1986-12-05,286455723
1301,Carl,Wheeler,United Kingdom,London,Namekagon Place,844,1969-09-22,156188124
1302,Brandon,Howard,China,Youdunjie,Farragut Parkway,164,1989-11-27,556123391
1303,Douglas,Evans,Canada,Espanola,Mallory Court,72805,1954-11-17,793309025
1304,Judy,Jacobs,Guatemala,Esquipulas Palo Gordo,Maple Center,51,1983-11-17,457940442
1305,Johnny,Richardson,United States,Oklahoma City,Monterey Alley,58,1931-08-06,240286358
1306,Matthew,Snyder,China,Zhongwei,Declaration Park,2802,1950-07-14,726525123
1307,Emily,Carter,France,Besançon,Mifflin Park,0,1980-04-08,395576521
1308,Amy,Young,China,Dongfeng,Pepper Wood Drive,43,1934-12-22,937250857
1309,Charles,Arnold,Pakistan,Quetta,West Street,0338,1940-12-19,289169486
1310,Martha,Ross,North Korea,Kilju,Bayside Junction,75,1997-06-25,361601815
1311,Margaret,Knight,China,Tanbu,Prairie Rose Trail,9204,1990-09-04,953714443
1312,Stephen,Miller,Philippines,Balungao,Ronald Regan Way,99887,1942-06-21,341592744
1313,Sarah,Wagner,Indonesia,Manggissari,Commercial Avenue,94625,1959-05-21,736137061
1314,Tammy,Cox,Croatia,Mačkovec,Vernon Street,288,1931-01-08,503499983
1315,Patricia,Ray,Czech Republic,Bavorov,Dwight Place,7,1940-11-16,326479554
1316,Matthew,Henderson,Russia,Krasnodar,Granby Point,50978,1964-09-11,546543381
1317,Emily,Hall,Indonesia,Cibiru,Lakeland Circle,6,1957-02-07,291615152
1318,Jacqueline,Snyder,Iran,Ahar,3rd Street,6,1938-07-31,812210448
1319,Michael,Cox,Indonesia,Tapakrejo,Bluestem Parkway,38146,1991-10-03,669091038
1320,Thomas,Stone,Poland,Pruchnik,North Court,22,1994-04-02,628875795
1321,Walter,Bowman,Philippines,Bitin,Mosinee Avenue,967,1953-02-01,630804928
1322,Roger,Reid,Greece,Aryiropoúlion,Welch Drive,9,1973-12-29,283829651
1323,Julie,Sanchez,Finland,Masku,Almo Place,16,1970-03-18,240072386
1324,Ruth,Jackson,Portugal,Cardal,Nelson Trail,6,1950-02-20,296312027
1325,Kathryn,Lewis,Nigeria,Gandi,Northridge Point,5,1989-11-09,885270829
1326,Timothy,Cox,Yemen,Al Qanāwiş,Mifflin Pass,737,1977-03-28,384295100
1327,Carolyn,Ryan,Poland,Błaszki,Glacier Hill Trail,42,1932-06-20,205376427
1328,Evelyn,Banks,Botswana,Kanye,Algoma Pass,2851,1953-06-08,662840150
1329,Aaron,Meyer,Philippines,San Isidro,Russell Junction,39,1938-11-18,332496712
1330,Kenneth,Little,Indonesia,Wilanagara,Golden Leaf Plaza,26,1954-08-07,406300740
1331,Wayne,Rodriguez,Peru,Aco,Golden Leaf Terrace,3,1935-02-12,427732389
1332,Joshua,Williams,China,Dongting,Memorial Avenue,727,1996-06-08,954436234
1333,Nancy,Frazier,Canada,Aldergrove,Declaration Plaza,390,1994-12-04,933104652
1334,Linda,Rivera,Eritrea,Barentu,Superior Junction,736,1951-05-25,663495594
1335,Angela,Boyd,Madagascar,Sambava,Hallows Alley,669,1957-04-26,526104757
1336,Louise,Mills,Angola,Longonjo,Shoshone Avenue,41,1976-12-21,276091820
1337,Douglas,Peterson,Sierra Leone,Binkolo,7th Parkway,60525,1964-11-18,215408543
1338,Adam,Elliott,Indonesia,Cilangkap,Butternut Junction,28,1964-12-19,854896514
1339,Matthew,Thomas,Canada,Fredericton,West Lane,2298,1973-11-06,156085017
1340,Raymond,Jones,China,Huangshi,Sullivan Park,93,1939-01-14,833841063
1341,Aaron,Gibson,Portugal,Malpique,4th Circle,690,1979-09-05,736250062
1342,Carolyn,Richardson,China,Baoshan,South Way,2,1983-07-28,482776666
1343,Rose,Stevens,Uganda,Kagadi,Shoshone Junction,935,1961-03-01,663863962
1344,Tina,Chapman,Thailand,Ta Phraya,Stuart Center,14405,1941-11-22,479296501
1345,Gregory,Brown,Japan,Kagoshima-shi,Northwestern Trail,30885,1954-08-04,568834159
1346,Larry,Lawrence,Indonesia,Haruman,Maryland Pass,3,1933-04-12,238973497
1347,Judy,Spencer,China,Tangnanzhen,Montana Drive,66279,1937-07-19,354401417
1348,Randy,Warren,Russia,Sovetskoye,North Road,1905,1965-05-08,751942477
1349,Lawrence,Welch,Indonesia,Babakansalam,Bluestem Court,58,1945-09-04,959838558
1350,Lawrence,Mccoy,China,Lidian,Golf View Hill,7320,1995-03-13,304974631
1351,Donald,Andrews,Paraguay,Caacupé,Sherman Plaza,10975,1980-07-04,292378342
1352,Nancy,Bailey,Russia,Verkhniye Kigi,Sullivan Plaza,530,1961-10-21,786790257
1353,Brandon,Wagner,Pakistan,Dhanot,Farwell Junction,0273,1939-05-01,463254930
1354,David,Ross,United States,Houston,Portage Park,413,1937-08-28,747107916
1355,Gregory,Wells,China,Huangjingba,Rigney Junction,9,1954-04-10,970320814
1356,Antonio,Lawson,Russia,Shuvakish,Stoughton Terrace,0038,1967-04-28,432387331
1357,Debra,Knight,Greece,Smínthi,Grover Street,03,1989-09-26,145089519
1358,Jeffrey,Holmes,Ivory Coast,Duekoué,Division Place,4177,1942-12-03,321150429
1359,Fred,Nguyen,China,Huanglong,Mallard Road,337,1967-03-08,782464700
1360,Kenneth,Wright,Malta,Kerċem,Meadow Ridge Circle,0,1997-01-06,818969187
1361,Julia,West,Indonesia,Sarirejo Satu,Dunning Center,83,1991-07-14,788740410
1362,Sean,Jackson,Philippines,Mahaplag,Carpenter Lane,78812,1938-10-03,188601377
1363,Julie,Fisher,Brazil,Humaitá,Old Gate Road,184,1982-01-14,182426711
1364,Aaron,Grant,China,Baiquan,Anzinger Trail,7,1959-03-09,772647902
1365,Diane,Grant,Japan,Shimada,Del Mar Crossing,6791,1961-03-24,336154129
1366,Peter,Garza,Pakistan,Ladhewāla Warāich,Northfield Avenue,96290,1981-11-13,827119332
1367,Ruth,Crawford,Brazil,Elias Fausto,Haas Parkway,012,1963-03-02,874469650
1368,Jerry,Harper,Indonesia,Dangbigih,Darwin Park,4751,1958-08-29,700647892
1369,Thomas,Burns,Thailand,Ban Selaphum,Farragut Lane,00634,1974-11-09,540293182
1370,Gerald,Ray,Brazil,João Alfredo,Kennedy Drive,69783,1955-06-13,860688487
1371,Robert,Elliott,Brazil,Sacramento,Village Green Hill,722,1934-01-17,343550540
1372,Jimmy,Lopez,Cameroon,Douala,Del Sol Junction,3115,1985-11-26,305112776
1373,Antonio,Adams,Indonesia,Ciawi,Sundown Avenue,7912,1955-04-03,481071434
1374,Jack,Garrett,Kenya,Wajir,Independence Hill,015,1967-07-06,625818718
1375,Michael,Baker,Indonesia,Kaliuda,Londonderry Parkway,2724,1953-12-19,677520971
1376,George,Mason,Brazil,Nova Prata,Canary Place,55,1953-10-15,169999470
1377,Louise,Turner,Philippines,Buang,Scofield Hill,41,1963-12-25,132984201
1378,Emily,Hamilton,Vietnam,Dầu Tiếng,Nobel Way,90,1956-08-29,791240529
1379,Jack,Hughes,Iran,Nahāvand,Blaine Place,2,1934-04-02,467373279
1380,Jason,Butler,Angola,Caála,Drewry Point,1,1952-04-03,581897783
1381,Shirley,Robinson,Philippines,Puerto Galera,Roth Junction,5062,1938-10-03,842632838
1382,Paul,Johnson,Thailand,Tha Ruea,Barby Street,65,1940-12-09,307614379
1383,Craig,Jones,United States,Tampa,Cherokee Pass,2537,1992-05-16,649732461
1384,Willie,Bailey,Russia,Krasnyy Gulyay,Barnett Crossing,543,1974-10-02,187444511
1385,Michelle,Carpenter,Indonesia,Tlogowetan,Elmside Lane,5,1952-01-01,559271026
1386,Sandra,Jones,Canada,Anmore,Arapahoe Lane,9,1969-10-16,508685196
1387,Lois,Carr,Sweden,Linköping,Melby Way,123,1984-11-18,141703146
1388,Sandra,Brooks,Brazil,Lajedo,Summer Ridge Place,7504,1997-03-06,212865125
1389,Rachel,Price,Poland,Bolszewo,Rusk Park,6,1974-08-16,461497980
1390,George,Wood,Myanmar,Mandalay,Melody Terrace,7577,1959-10-19,318928603
1391,Wanda,Cruz,Portugal,Souto da Casa,Harbort Drive,5769,1948-09-15,826995939
1392,Mildred,Gonzales,China,Xiaohekou,Golf Course Pass,37782,1971-07-05,539811826
1393,Phillip,Wheeler,Indonesia,Kepel,Mallory Street,2,1985-11-06,944237124
1394,Ashley,Harris,Indonesia,Nangabulik,Tony Place,49495,1974-11-29,812421746
1395,Evelyn,Armstrong,Uzbekistan,Yangirabot,Rowland Hill,10335,1981-04-01,143099048
1396,Terry,Long,Mongolia,Höviyn Am,Porter Place,8,1958-08-13,900692865
1397,Norma,Fox,Serbia,Rača,Nova Point,88,1988-02-01,832386613
1398,Steven,Knight,Russia,Korobitsyno,Monument Terrace,9121,1935-12-17,996162732
1399,Evelyn,James,Brazil,Barreirinhas,Cordelia Center,62,1980-07-12,566769192
1400,Joyce,Murray,Sri Lanka,Tangalla,Thompson Way,743,1940-03-23,810086220
1401,Joe,Rose,China,Qingxi,Judy Avenue,0146,1993-12-11,608236235
1402,Carol,White,Russia,Svetogorsk,Petterle Trail,84604,1940-03-01,519049356
1403,David,Price,Afghanistan,Paghmān,Linden Alley,0364,1989-07-11,474300528
1404,Michelle,Nelson,Greece,Vokhaïkó,Menomonie Center,907,1944-04-15,560409700
1405,Lillian,Long,China,Dongkeng,High Crossing Drive,0886,1980-07-08,396689481
1406,Ralph,Mason,Mexico,Anahuac,Bartelt Lane,00760,1944-03-05,648935173
1407,Diana,Crawford,Indonesia,Kademangan,Steensland Junction,5,1960-12-11,293048908
1408,Philip,Roberts,Indonesia,Lampihung,Bonner Crossing,672,1938-10-13,974313106
1409,Margaret,Murray,Zimbabwe,Filabusi,Towne Point,52,1936-05-03,971632974
1410,Andrea,Holmes,Colombia,Floridablanca,Logan Hill,4,1947-04-18,393090834
1411,Alice,Wagner,Latvia,Līvāni,Porter Center,64,1988-04-02,326295789
1412,Mark,Stone,Afghanistan,Dū Qal‘ah,Southridge Pass,6,1951-01-12,375467865
1413,Charles,Hawkins,China,Chahannao,Springview Trail,8,1967-09-05,931523753
1414,Stephen,Knight,China,Jingu,Bashford Center,84962,1933-11-04,183132203
1415,David,Reynolds,Indonesia,Kadubamban,Westend Place,85,1985-10-17,503630380
1416,Henry,Rose,China,Dadamtu,Mariners Cove Parkway,99523,1991-05-04,722356114
1417,Doris,Fuller,China,Bandong,Schiller Center,182,1983-03-05,860646050
1418,Cynthia,Flores,Vietnam,Ai Tu,Fordem Road,7143,1948-02-09,754762000
1419,Christine,Ramirez,China,Gaoqiao,Northwestern Center,06,1984-05-19,458789506
1420,Marilyn,Hunter,Azerbaijan,Vurğun,Calypso Crossing,06,1935-08-06,331837668
